UNITID,cs_stat,cs_pval,noncs_stat,noncs_pval,quadrant
100654,0.13452484203647622,0.6933214802413767,0.6981137489718143,0.016890784285994418,1
100663,0.2669056621906694,0.42754465865711455,0.4075394747296782,0.2134527602626898,1
100706,0.45073475328007073,0.1641222590874429,-0.7477934765526448,0.008140732344817523,4
100724,-0.18931425232022342,0.5771774189654248,0.12301178518958894,0.7186017506267837,2
100751,0.6449476366090808,0.032142130789076115,0.9029524518401798,0.0001404037820691893,1
100812,-0.3623220593726888,0.27350378245870144,0.4417699513326553,0.1737165248591221,2
100858,0.3594977348035797,0.2775384382173152,0.08838677837608117,0.7960816675587076,1
101116,-0.35261035798252627,0.2875158171831923,0.49647925166081175,0.1203262689213981,2
101189,0.17887474499925562,0.5987192222409173,-0.6956916740811103,0.0174410234190199,4
101480,-0.0008618382443366865,0.9979934617911645,-0.15625996988333646,0.646369557548862,3
101675,-0.12091801277435049,0.7232273713404522,-0.721266688888692,0.01224122415334299,3
101879,0.6387810042835631,0.03438053030247858,0.26941511406273966,0.4230451433948605,1
101912,-0.17845765256206247,0.5995860667116866,-0.484759661953861,0.13073456993550797,3
102049,0.04817283789089795,0.8881466669472176,0.5843095943703127,0.05906483968719355,1
102094,0.3661113659420049,0.2681426695500201,0.14793907890379068,0.6642182346203177,1
102298,-0.6629023234578832,0.026208832627584163,-0.2306882528299246,0.49494977406342733,3
102368,-0.1501821232761432,0.6593909287626034,0.7054800965958274,0.015293817345139734,2
102377,0.5575764665077185,0.07471886710646082,0.7610399498566144,0.006520520480531013,1
102553,0.536467471310013,0.08887969615043569,-0.6805467120037674,0.021176571219925625,4
102614,0.4151416435509444,0.20420161510394852,-0.3267320843780571,0.326742228530051,4
102845,0.5172542867853516,0.10321609780044198,0.780910113699807,0.00455110964945634,1
104151,0.5844271590723508,0.059001412475330854,-0.37340174461140574,0.2579965132519364,4
104179,0.9481623059292479,8.928317919787841e-06,0.45860196774413997,0.15597835890834275,1
105330,0.6321655504158864,0.03690057804493691,0.6613496071574749,0.026688655969278566,1
106245,0.5175066077123935,0.10301866322224836,0.707259589227053,0.014924941842925447,1
106342,-0.4989166310011253,0.11823067085676219,-0.7604163380431148,0.006590986672779538,3
106397,0.9043507228561475,0.0001318006970812226,0.9690002792784108,9.101970296365527e-07,1
106412,-0.4663134789346069,0.14824441876150918,0.251723479794359,0.4552475014791536,2
106458,-0.3846870233708922,0.24272904182604085,0.34771931051562155,0.2947200525293589,2
106467,-0.03464341706499359,0.9194557029211913,0.07098370749139996,0.835702901095664,2
106704,0.37024175936927634,0.26236709087804366,0.6672266826169451,0.02490467754225428,1
107044,0.39763171951620846,0.22587541888715607,0.2508859007127079,0.45679948267495346,1
107071,-0.20465595024580766,0.5460807452446126,0.39420256005598747,0.23027140327268655,2
107080,-0.5655445314862901,0.06979246413634416,-0.02335880168196805,0.9456504224216065,3
107512,0.5393598899705937,0.08684229054535093,0.2526331624723712,0.45356468518026627,1
107600,-0.07676091407816024,0.8225076363442744,0.3060428157509012,0.36004026371045894,2
107983,0.007926520159306297,0.9815467535170284,-0.057692773195947324,0.8661994341275376,4
108092,0.2773240430742616,0.40901465518791663,-0.038411638456689275,0.9107234320447155,4
108232,0.6034445025183923,0.04934038699266651,0.6349338074056915,0.03583091164399913,1
109785,0.5906375899670987,0.05571630496753003,0.6501554177782471,0.030333035441912376,1
110097,-0.11418248670561167,0.7381634917599028,0.5340647371528792,0.09059597101322643,2
